ID,Nombre,Edad,Promedio
1,Mario,17,3.3
2,Mario,15,4.0
3,Hector,21,3.0
4,Sara,15,4.0
5,Manuela,23,4.8
6,Adriana,21,2.1
7,Nicolas,25,4.4
8,Vanessa,19,1.1
9,Jose,17,1.2
10,Christian,23,1.8
11,Monica,21,3.4
12,Mauricio,23,4.9
13,Sebastian,24,2.4
14,Jorge,15,1.5
15,Esteban,16,4.8
16,Jonathan,22,1.5
17,Isabella,16,4.3
18,Elena,23,3.5
19,Pablo,24,1.1
20,Jorge,20,1.4
21,Melissa,17,4.4
22,Fernando,25,1.3
23,Lucia,19,3.2
24,Julian,24,4.1
25,Natalia,18,3.2
26,Catalina,22,3.1
27,Camila,18,2.8
28,Angela,23,2.8
29,Paula,17,4.9
30,Carolina,22,3.9
31,Andrea,18,4.8
32,Esteban,19,1.8
33,Jorge,22,3.5
34,Isabella,20,2.7
35,Ricardo,21,1.5
36,Manuela,17,3.9
37,David,16,5.0
38,Jonathan,25,4.6
39,Tatiana,24,3.2
40,Oscar,24,1.9
41,Melissa,18,3.1
42,Gustavo,20,2.6
43,Daniela,21,5.0
44,Mario,21,2.7
45,Sara,17,4.5
46,Monica,18,1.8
47,Melissa,15,2.1
48,Angelica,18,1.0
49,Esteban,20,1.7
50,Steven,24,1.9
51,Christian,20,3.3
52,Carlos,21,3.4
53,Tomas,23,3.0
54,Angela,15,1.3
55,Valentina,22,4.7
56,Tatiana,16,2.3
57,Xiomara,22,4.7
58,Julian,20,2.7
59,Ana,21,1.7
60,Pablo,25,1.6
61,David,18,2.8
62,Elena,21,4.4
63,Sara,19,4.4
64,Angela,20,4.4
65,Juliana,16,2.0
66,Alexander,19,1.4
67,Paula,25,1.7
68,Liliana,20,3.9
69,Angela,20,1.5
70,Elena,18,4.8
71,Hector,23,1.0
72,Sebastian,19,2.2
73,Tomas,21,1.2
74,Gustavo,16,3.1
75,Sofia,22,3.8
76,Maria,22,3.6
77,Bryan,18,3.4
78,Daniel,17,1.0
79,Gabriela,23,2.3
80,Tomas,24,2.1
81,Diego,16,1.1
82,Gabriela,21,2.1
83,Nicolas,22,1.9
84,Stefania,18,4.3
85,Manuela,15,3.7
86,Liliana,17,1.7
87,Monica,24,2.9
88,Melissa,23,3.5
89,Vanessa,19,4.4
90,Melissa,17,4.3
91,Samuel,19,2.3
92,Eduardo,23,4.8
93,Ricardo,24,3.8
94,Tomas,24,2.9
95,Andrea,23,3.8
96,Patricia,25,1.0
97,Liliana,15,2.2
98,Adriana,22,2.8
99,Esteban,25,3.5
100,Melissa,21,4.3
101,Sergio,16,3.9
102,Valentina,16,4.5
103,Beatriz,23,4.4
104,Roberto,18,3.1
105,Andres,25,2.2
106,Roberto,19,4.8
107,Julian,24,1.4
108,Martha,24,2.6
109,Paola,19,3.0
110,Ivan,22,4.2
111,Juan,23,2.1
112,Juliana,18,3.4
113,Carlos,25,2.7
114,Vanessa,16,1.4
115,Kevin,16,1.6
116,Angela,22,3.5
117,Catalina,19,1.0
118,Diana,24,2.9
119,Sara,17,2.0
120,Andres,23,4.4
121,Miguel,25,1.9
122,Mateo,23,2.5
123,Valentina,19,4.6
124,Monica,20,4.6
125,Alexander,20,4.1
126,Esteban,17,4.9
127,Ricardo,17,3.7
128,Liliana,24,1.7
129,Angelica,16,3.2
130,Mateo,25,3.6
131,Juliana,17,1.7
132,Diana,15,1.5
133,Andres,18,4.0
134,Manuela,20,5.0
135,Sara,25,2.2
136,Valentina,22,2.9
137,Martha,25,1.2
138,Kevin,22,3.6
139,Valentina,21,3.1
140,Gabriela,21,2.7
141,Stefania,18,2.8
142,Angelica,25,4.7
143,Emanuel,17,4.6
144,Adriana,23,2.5
145,Valentina,25,4.6
146,Sergio,19,4.4
147,Oscar,25,4.5
148,Daniela,17,2.9
149,Sara,23,3.7
150,Jorge,25,2.4
151,Carlos,24,4.9
152,Daniel,25,4.8
153,Tatiana,21,3.8
154,Esteban,18,1.7
155,Angela,15,1.8
156,Julian,22,1.2
157,Tatiana,25,2.1
158,Patricia,25,3.4
159,Sebastian,23,1.1
160,Andres,25,4.1
161,Paola,22,2.3
162,Jose,19,1.1
163,Melissa,15,4.7
164,Alejandra,17,2.4
165,Esteban,22,2.4
166,Santiago,21,1.5
167,Gloria,17,3.3
168,Liliana,15,2.9
169,Daniela,16,3.7
170,Natalia,17,3.8
171,Angelica,19,4.3
172,Ana,25,1.6
173,Esteban,15,3.2
174,Samuel,17,4.9
175,Juliana,20,2.8
176,Melissa,23,5.0
177,Tatiana,22,2.7
178,Daniel,23,3.0
179,Laura,20,4.0
180,Laura,25,4.2
181,Valentina,16,2.9
182,Alejandro,24,1.8
183,Oscar,19,3.9
184,Manuela,17,3.4
185,Bryan,22,4.3
186,Martha,15,4.4
187,Catalina,18,3.7
188,Mario,24,3.9
189,Tatiana,16,3.1
190,Luis,24,3.4
191,Xiomara,19,4.3
192,Diana,15,2.5
193,Sofia,18,3.7
194,Juliana,18,2.5
195,Adriana,25,4.7
196,Luis,20,3.2
197,Emanuel,22,4.9
198,Christian,24,1.1
199,Gloria,16,4.9
200,Christian,18,3.4
201,Felipe,22,3.9
202,Juan,17,3.7
203,Patricia,24,2.4
204,Ricardo,16,2.9
205,Ricardo,21,4.7
206,Steven,16,3.7
207,Sergio,19,3.4
208,Beatriz,21,4.0
