ID,Nombre,Edad,Promedio
6260,Sergio,15,2.7
3307,Bryan,15,4.7
5583,Liliana,23,1.0
8126,Sergio,18,2.3
8091,Oscar,21,4.2
7261,Monica,23,2.2
2582,Ricardo,16,1.3
2288,Carlos,21,3.2
9657,Alexander,25,1.7
3446,Laura,25,4.5
1210,Eduardo,18,4.6
7754,Sara,23,2.7
751,Monica,18,4.9
6474,Carlos,21,2.8
5147,Felipe,16,3.2
2880,Roberto,25,4.1
8766,Daniel,17,4.8
4364,Esteban,15,4.0
6691,Ricardo,21,2.2
7437,Adriana,18,2.1
664,Andrea,22,3.7
5238,Sebastian,21,4.3
8163,Camila,22,2.4
7352,Roberto,16,1.2
3654,Angelica,25,2.2
3220,Alexander,16,2.5
369,Christian,20,3.9
1678,Lucia,17,2.4
3766,David,25,3.8
5553,Sara,18,4.1
2838,Paola,19,1.4
1967,Valentina,17,2.3
7993,Diana,18,4.7
7785,Natalia,18,1.1
2300,Oscar,15,1.8
7496,Mario,21,2.2
3285,Monica,24,1.4
2062,Stefania,23,4.0
685,Xiomara,16,4.6
6378,Juan,19,4.6
1163,Daniel,20,2.9
7069,Melissa,20,3.1
6784,Camila,19,3.9
9355,Julian,24,3.1
1524,Liliana,24,3.6
805,Paola,17,1.1
757,Ricardo,15,3.2
5309,Tomas,16,2.5
396,Mauricio,19,1.2
1478,Valeria,19,1.1
7639,Xiomara,17,3.6
5658,Lucia,20,2.6
2917,Kevin,18,1.7
9367,Mario,18,4.5
10000,Catalina,19,4.5
2050,Eduardo,18,4.3
6884,Jose,20,2.4
883,Gloria,21,2.2
1601,Angela,22,2.0
5751,Paola,25,2.8
6851,Elena,18,3.3
2122,Julian,23,3.2
6869,Ivan,21,3.0
6775,Felipe,20,3.5
7697,Paula,21,2.6
7966,Carlos,18,2.2
1557,Adriana,18,2.0
8982,Gloria,16,1.4
4489,Jorge,20,2.5
3096,Alejandra,21,1.3
5419,Manuela,21,1.1
1801,Daniela,17,3.1
2407,Cristian,17,1.8
7176,Carlos,23,4.7
9224,Eduardo,22,2.4
8899,Mateo,19,1.3
212,Rosa,22,4.9
4924,Maria,16,3.4
979,Eduardo,20,1.4
1075,Alejandro,24,2.5
9448,Isabella,25,1.1
703,Cristian,24,4.1
2879,Elena,23,3.6
600,Patricia,21,3.1
3347,Mariana,17,1.0
4369,Sara,16,3.7
6711,Alejandra,20,3.5
6749,Emanuel,16,4.8
6434,Xiomara,17,1.4
4839,Catalina,19,2.9
4840,Ricardo,23,1.1
2351,Roberto,23,4.8
8205,Pablo,24,3.9
6343,Daniela,22,4.9
457,Ricardo,21,2.3
400,Ricardo,23,2.6
8348,Ricardo,20,3.8
467,Gabriela,15,2.1
4652,Cristian,22,4.3
4900,Pablo,21,4.0
3236,Angelica,22,1.9
4187,Manuela,21,3.3
7829,Gloria,25,2.2
2400,Alejandra,17,1.2
7530,Cristian,18,1.8
7961,Valentina,23,4.1
9790,Tomas,15,4.9
8061,Julian,15,1.3
1534,Isabella,25,4.0
7106,Pablo,16,3.4
4610,Mario,25,2.0
456,Hector,22,4.3
2871,Maria,23,1.7
9752,Roberto,18,4.5
2528,Adriana,25,1.5
